"Refs","Value","Footprint","Qty","DNP"
"ST-LINK1","ST-Link","ProPrj_STM-easyedapro:JST-XH-04-PACKAGE-LONG-PAD","1",""
"U1","STM32F072RBT6","ProPrj_STM-easyedapro:LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","1",""
"U2","B1212S-1W_C883463","ProPrj_STM-easyedapro:PWRM-TH_B2415S-1W","1",""
"U3","B1212S-1W_C883463","ProPrj_STM-easyedapro:PWRM-TH_B2415S-1W","1",""
"U4","INA240A4DR","ProPrj_STM-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","1",""
"U5","INA240A4DR","ProPrj_STM-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","1",""
"U8","XL7005A","ProPrj_STM-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","1",""
"U9","XL7005A","ProPrj_STM-easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","1",""
"U?","Sort_Symbol","ProPrj_STM-easyedapro:","1",""
"U?","Sort_Symbol","ProPrj_STM-easyedapro:","1",""
"U?","Sort_Symbol","ProPrj_STM-easyedapro:","1",""
"U?","Sort_Symbol","ProPrj_STM-easyedapro:","1",""
"UA?","IRS21867STRPBF","ProPrj_STM-easyedapro:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","1",""
"UART1","UART","ProPrj_STM-easyedapro:JST-XH-04-PACKAGE-LONG-PAD","1",""
"UB?","IRS21867STRPBF","ProPrj_STM-easyedapro:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","1",""
"USB1","TYPE-C 16PIN 2MD(073)","ProPrj_STM-easyedapro:USB-C-SMD_TYPE-C-6PIN-2MD-073","1",""
"VIN1","XT60PW-F","ProPrj_STM-easyedapro:CONN-TH_XT60PW-M","1",""
"VOUT1","XT60PW-M","ProPrj_STM-easyedapro:CONN-TH_XT60PW-M","1",""
